date,symbol,price,eps,book_value,sales,dividend,market_cap,debt,cash,ebitda
2025-12-09,601318.SH,60.7,7.56,54.474569370897264,0.0,2.2011038218562926,1099133869096.5,12276535000000.0,702025000000.0,159427200000.0
2025-12-10,601318.SH,60.800000000000004,7.56,54.474569370897264,0.0,2.2011038218562926,1100944633296.0,12276535000000.0,702025000000.0,159427200000.0
2025-12-11,601318.SH,60.78,7.56,54.474569370897264,0.0,2.2011038218562926,1100582480456.1,12276535000000.0,702025000000.0,159427200000.0
2025-12-12,601318.SH,62.160000000000004,7.56,54.474569370897264,0.0,2.2011038218562926,1125571026409.2,12276535000000.0,702025000000.0,159427200000.0
2025-12-15,601318.SH,65.33,7.56,54.474569370897264,0.0,2.2011038218562926,1182972251533.3499,12276535000000.0,702025000000.0,159427200000.0
2025-12-16,601318.SH,65.25,7.56,54.474569370897264,0.0,2.2011038218562926,1181523640173.75,12276535000000.0,702025000000.0,159427200000.0
2025-12-17,601318.SH,66.30000000000001,7.56,54.474569370897264,0.0,2.2011038218562926,1200536664268.5002,12276535000000.0,702025000000.0,159427200000.0
2025-12-18,601318.SH,66.75,7.56,54.474569370897264,0.0,2.2011038218562926,1208685103166.25,12276535000000.0,702025000000.0,159427200000.0
2025-12-19,601318.SH,67.0,7.56,54.474569370897264,0.0,2.2011038218562926,1213212013665.0,12276535000000.0,702025000000.0,159427200000.0
2025-12-22,601318.SH,66.79,7.56,54.474569370897264,0.0,2.2011038218562926,1209409408846.05,12276535000000.0,702025000000.0,159427200000.0
2025-12-23,601318.SH,67.74000000000001,7.56,54.474569370897264,0.0,2.2011038218562926,1226611668741.3,12276535000000.0,702025000000.0,159427200000.0
2025-12-24,601318.SH,67.28000000000002,7.56,54.474569370897264,0.0,2.2011038218562926,1218282153423.6003,12276535000000.0,702025000000.0,159427200000.0
2025-12-25,601318.SH,69.05,7.56,54.474569370897264,0.0,2.2011038218562926,1250332679754.75,12276535000000.0,702025000000.0,159427200000.0
2025-12-26,601318.SH,69.41000000000001,7.56,54.474569370897264,0.0,2.2011038218562926,1256851430872.9502,12276535000000.0,702025000000.0,159427200000.0
2025-12-29,601318.SH,68.13000000000001,7.56,54.474569370897264,0.0,2.2011038218562926,1233673649119.35,12276535000000.0,702025000000.0,159427200000.0
2025-12-30,601318.SH,67.05,7.56,54.474569370897264,0.0,2.2011038218562926,1214117395764.75,12276535000000.0,702025000000.0,159427200000.0
2025-12-31,601318.SH,66.65,7.68,55.24844152961729,0.0,2.232946731063312,1206874338966.75,12482483000000.0,745679000000.0,161733600000.0
2026-01-05,601318.SH,70.61,7.68,55.24844152961729,0.0,2.232946731063312,1278580601266.95,12482483000000.0,745679000000.0,161733600000.0
2026-01-06,601318.SH,72.57000000000001,7.68,55.24844152961729,0.0,2.232946731063312,1314071579577.1501,12482483000000.0,745679000000.0,161733600000.0
2026-01-07,601318.SH,71.7,7.68,55.24844152961729,0.0,2.232946731063312,1298317931041.5,12482483000000.0,745679000000.0,161733600000.0
2026-01-08,601318.SH,68.63,7.68,55.24844152961729,0.0,2.232946731063312,1242727470116.8499,12482483000000.0,745679000000.0,161733600000.0
2026-01-09,601318.SH,67.25,7.68,55.24844152961729,0.0,2.232946731063312,1217738924163.75,12482483000000.0,745679000000.0,161733600000.0
2026-01-12,601318.SH,65.8,7.68,55.24844152961729,0.0,2.232946731063312,1191482843271.0,12482483000000.0,745679000000.0,161733600000.0
